Group	Degree
Myeloid_OA	30
Myeloid_OA	28
Myeloid_OA	34
Myeloid_OA	33
Myeloid_OA	2
Myeloid_OA	17
Myeloid_OA	9
Myeloid_OA	8
Myeloid_OA	3
Myeloid_OA	33
Myeloid_OA	7
Myeloid_OA	5
Myeloid_OA	27
Myeloid_OA	29
Myeloid_OA	69
Myeloid_OA	9
Myeloid_OA	29
Myeloid_OA	3
Myeloid_OA	3
Myeloid_OA	1
Myeloid_OA	9
Myeloid_OA	20
Myeloid_OA	2
Myeloid_OA	8
Myeloid_OA	58
Myeloid_OA	9
Myeloid_OA	56
Myeloid_OA	18
Myeloid_OA	49
Myeloid_OA	10
Myeloid_OA	2
Myeloid_OA	58
Myeloid_OA	11
Myeloid_OA	61
Myeloid_OA	18
Lymphoid_AYA	18
Lymphoid_AYA	41
Lymphoid_AYA	24
Lymphoid_AYA	42
Lymphoid_AYA	8
Lymphoid_AYA	8
Lymphoid_AYA	269
Lymphoid_AYA	130
Lymphoid_AYA	6
Lymphoid_AYA	20
Lymphoid_AYA	19
Lymphoid_AYA	63
Lymphoid_AYA	8
Lymphoid_AYA	20
Lymphoid_AYA	10
Lymphoid_AYA	33
Lymphoid_AYA	4
Lymphoid_AYA	66
Lymphoid_AYA	9
Lymphoid_AYA	31
Lymphoid_AYA	18
Lymphoid_AYA	132
Lymphoid_AYA	2
Lymphoid_AYA	13
Lymphoid_AYA	6
Lymphoid_AYA	76
Lymphoid_AYA	60
Lymphoid_AYA	109
Lymphoid_AYA	10
Lymphoid_AYA	21
Lymphoid_AYA	16
Lymphoid_AYA	44
Lymphoid_AYA	4
Lymphoid_AYA	15
Lymphoid_AYA	6
Lymphoid_AYA	102
Lymphoid_AYA	111
Lymphoid_AYA	39
Lymphoid_AYA	2
Lymphoid_AYA	39
Lymphoid_AYA	9
Lymphoid_AYA	16
Lymphoid_AYA	1
Lymphoid_AYA	5
Lymphoid_AYA	14
Lymphoid_AYA	3
Lymphoid_AYA	24
Lymphoid_AYA	2
Lymphoid_AYA	58
Lymphoid_AYA	7
Lymphoid_AYA	6
Lymphoid_AYA	14
Lymphoid_AYA	25
Lymphoid_AYA	4
Lymphoid_AYA	29
Lymphoid_AYA	3
Lymphoid_AYA	46
Lymphoid_AYA	5
Lymphoid_AYA	62
Lymphoid_AYA	21
Lymphoid_AYA	9
Lymphoid_AYA	6
Lymphoid_AYA	4
Lymphoid_AYA	3
Lymphoid_AYA	15
Lymphoid_AYA	5
Lymphoid_AYA	6
Lymphoid_AYA	16
Lymphoid_AYA	79
Lymphoid_AYA	3
Lymphoid_AYA	3
Lymphoid_AYA	289
Lymphoid_AYA	16
Lymphoid_AYA	6
Lymphoid_AYA	69
Lymphoid_AYA	196
Lymphoid_AYA	22
Lymphoid_AYA	12
Lymphoid_AYA	5
Lymphoid_AYA	143
Lymphoid_AYA	4
Lymphoid_AYA	138
Lymphoid_AYA	8
Lymphoid_AYA	3
Lymphoid_AYA	5
Lymphoid_AYA	5
Lymphoid_AYA	6
Lymphoid_AYA	6
Lymphoid_AYA	4
Lymphoid_AYA	1
Lymphoid_AYA	2
Lymphoid_AYA	9
Lymphoid_AYA	3
Lymphoid_AYA	1
Lymphoid_AYA	238
Lymphoid_AYA	3
Lymphoid_AYA	4
Lymphoid_AYA	6
Lymphoid_AYA	202
Lymphoid_AYA	17
Lymphoid_AYA	440
Lymphoid_AYA	265
Lymphoid_AYA	10
Lymphoid_AYA	26
Lymphoid_AYA	28
Lymphoid_AYA	106
Lymphoid_AYA	82
Lymphoid_AYA	224
Lymphoid_AYA	270
Lymphoid_AYA	34
Lymphoid_AYA	8
Lymphoid_AYA	49
Lymphoid_AYA	74
Lymphoid_AYA	45
Lymphoid_AYA	198
Lymphoid_AYA	15
Lymphoid_AYA	96
Lymphoid_AYA	303
Lymphoid_AYA	2
Lymphoid_AYA	68
Lymphoid_AYA	207
Lymphoid_AYA	5
Lymphoid_AYA	13
Lymphoid_AYA	3
Lymphoid_AYA	121
Lymphoid_AYA	5
Lymphoid_AYA	104
Lymphoid_AYA	36
Lymphoid_AYA	55
Lymphoid_AYA	64
Lymphoid_AYA	197
Lymphoid_AYA	45
Lymphoid_AYA	32
Lymphoid_AYA	9
Lymphoid_AYA	7
Lymphoid_AYA	83
Lymphoid_AYA	3
Lymphoid_AYA	9
Lymphoid_AYA	67
Lymphoid_AYA	23
Lymphoid_AYA	39
Lymphoid_AYA	3
Lymphoid_AYA	46
Lymphoid_AYA	7
Lymphoid_AYA	32
Lymphoid_AYA	69
Lymphoid_AYA	52
Lymphoid_AYA	15
Lymphoid_AYA	28
Lymphoid_AYA	8
Lymphoid_AYA	18
Lymphoid_AYA	9
Lymphoid_AYA	2
Lymphoid_AYA	27
Lymphoid_AYA	2
Lymphoid_AYA	59
Lymphoid_AYA	8
Lymphoid_AYA	160
Lymphoid_AYA	5
Lymphoid_AYA	8
Lymphoid_AYA	2
Lymphoid_AYA	1
Lymphoid_AYA	5
Lymphoid_AYA	6
Lymphoid_AYA	4
Lymphoid_AYA	4
Lymphoid_AYA	26
Lymphoid_AYA	30
Lymphoid_AYA	71
Lymphoid_AYA	144
Lymphoid_AYA	27
Lymphoid_AYA	12
Lymphoid_AYA	7
Lymphoid_AYA	82
Lymphoid_AYA	4
Lymphoid_AYA	24
Lymphoid_AYA	8
Lymphoid_AYA	18
Lymphoid_AYA	5
Lymphoid_AYA	207
Lymphoid_AYA	2
Lymphoid_AYA	2
Lymphoid_AYA	18
Lymphoid_AYA	5
Lymphoid_AYA	7
Lymphoid_AYA	1
Lymphoid_AYA	5
Lymphoid_AYA	13
Lymphoid_AYA	8
Lymphoid_AYA	22
Lymphoid_AYA	4
Lymphoid_AYA	17
Lymphoid_AYA	12
Lymphoid_AYA	2
Lymphoid_AYA	5
Lymphoid_AYA	45
Lymphoid_AYA	7
Lymphoid_AYA	2
Lymphoid_AYA	5
Lymphoid_AYA	4
Lymphoid_AYA	18
Lymphoid_AYA	4
Lymphoid_OA	29
Lymphoid_OA	49
Lymphoid_OA	60
Lymphoid_OA	46
Lymphoid_OA	171
Lymphoid_OA	25
Lymphoid_OA	54
Lymphoid_OA	13
Lymphoid_OA	9
Lymphoid_OA	8
Lymphoid_OA	24
Lymphoid_OA	34
Lymphoid_OA	10
Lymphoid_OA	13
Lymphoid_OA	132
Lymphoid_OA	69
Lymphoid_OA	52
Lymphoid_OA	8
Lymphoid_OA	91
Lymphoid_OA	12
Lymphoid_OA	7
Lymphoid_OA	5
Lymphoid_OA	14
Lymphoid_OA	13
Lymphoid_OA	7
Lymphoid_OA	24
Lymphoid_OA	36
Lymphoid_OA	17
Lymphoid_OA	12
Lymphoid_OA	9
Lymphoid_OA	61
Lymphoid_OA	27
Lymphoid_OA	23
Lymphoid_OA	6
Lymphoid_OA	163
Lymphoid_OA	65
Lymphoid_OA	7
Lymphoid_OA	13
Lymphoid_OA	29
Lymphoid_OA	13
Lymphoid_OA	6
Lymphoid_OA	64
Lymphoid_OA	61
Lymphoid_OA	4
Lymphoid_OA	18
Lymphoid_OA	7
Lymphoid_OA	151
Lymphoid_OA	13
Lymphoid_OA	5
Lymphoid_OA	786
Lymphoid_OA	8
Lymphoid_OA	109
Lymphoid_OA	57
Lymphoid_OA	18
Lymphoid_OA	5
Lymphoid_OA	11
Lymphoid_OA	11
Lymphoid_OA	13
Lymphoid_OA	5
Lymphoid_OA	25
Lymphoid_OA	22
Lymphoid_OA	18
Lymphoid_OA	37
Lymphoid_OA	13
Lymphoid_OA	19
Lymphoid_OA	102
Lymphoid_OA	207
Lymphoid_OA	35
Lymphoid_OA	18
Lymphoid_OA	56
Lymphoid_OA	7
Lymphoid_OA	14
Lymphoid_OA	40
Lymphoid_OA	8
Lymphoid_OA	6
Lymphoid_OA	14
Lymphoid_OA	8
Lymphoid_OA	6
Lymphoid_OA	4
Lymphoid_OA	18
Lymphoid_OA	12
Lymphoid_OA	109
Lymphoid_OA	286
Lymphoid_OA	1
Lymphoid_OA	15
Lymphoid_OA	69
Lymphoid_OA	15
Lymphoid_OA	7
Lymphoid_OA	3
Lymphoid_OA	40
Lymphoid_OA	14
Lymphoid_OA	22
Lymphoid_OA	1
Lymphoid_OA	61
Lymphoid_OA	7
Lymphoid_OA	55
Lymphoid_OA	7
Lymphoid_OA	2
Lymphoid_OA	36
Lymphoid_OA	46
Lymphoid_OA	16
Lymphoid_OA	69
Lymphoid_OA	35
Lymphoid_OA	9
Lymphoid_OA	7
Lymphoid_OA	3
Lymphoid_OA	14
Lymphoid_OA	4
Lymphoid_OA	51
Lymphoid_OA	19
Lymphoid_OA	9
Lymphoid_OA	20
Lymphoid_OA	129
Lymphoid_OA	27
Lymphoid_OA	16
Lymphoid_OA	21
Lymphoid_OA	20
Lymphoid_OA	13
Lymphoid_OA	30
Lymphoid_OA	15
Lymphoid_OA	7
Lymphoid_OA	8
Lymphoid_OA	44
Lymphoid_OA	637
Lymphoid_OA	9
Lymphoid_OA	7
Lymphoid_OA	7
Lymphoid_OA	11
Lymphoid_OA	37
Lymphoid_OA	23
Lymphoid_OA	1
Lymphoid_OA	19
Lymphoid_OA	14
Lymphoid_OA	4
Lymphoid_OA	12
Lymphoid_OA	86
Lymphoid_OA	4
Lymphoid_OA	11
Lymphoid_OA	13
Lymphoid_OA	41
Lymphoid_OA	2
Lymphoid_OA	42
Lymphoid_OA	1
Lymphoid_OA	7
Lymphoid_OA	24
Lymphoid_OA	6
Lymphoid_OA	44
Lymphoid_OA	21
Lymphoid_OA	87
Lymphoid_OA	28
Lymphoid_OA	77
Lymphoid_OA	12
Lymphoid_OA	142
Lymphoid_OA	39
Lymphoid_OA	202
Lymphoid_OA	5
Lymphoid_OA	212
Lymphoid_OA	11
Lymphoid_OA	23
Lymphoid_OA	35
Lymphoid_OA	20
Lymphoid_OA	22
Lymphoid_OA	4
Lymphoid_OA	10
Lymphoid_OA	9
Lymphoid_OA	29
Lymphoid_OA	5
